id,property_icao_reqs,property_aligned,property_gt_names,created
IC-516,['flash_lenses'],False, 'pybossa',2021-05-16 21:29:00.995
IC-518,['veil'],False, 'pybossa',2021-05-17 15:19:44.378
IC-519,['reflection'],False, 'pybossa',2021-05-17 17:08:05.897
IC-520,['light'],False, 'pybossa',2021-05-17 19:04:40.322
IC-521,['sh_face'],False, 'pybossa',2021-05-17 21:00:45.006
IC-522,['sh_head'],False, 'pybossa',2021-05-17 22:56:55.901
IC-523,['blurred'],False, 'pybossa',2021-05-18 00:52:59.942
IC-524,['ink_mark'],False, 'pybossa',2021-05-18 02:49:16.794
IC-525,['skin_tone'],False, 'pybossa',2021-05-18 03:54:06.730
IC-526,['washed_out'],False, 'pybossa',2021-05-18 05:51:24.593
IC-527,['pixelation'],False, 'pybossa',2021-05-18 07:47:40.025
IC-528,['hair_eyes'],False, 'pybossa',2021-05-18 09:43:57.536
IC-529,['background'],False, 'pybossa',2021-05-18 11:41:07.631
IC-530,['red_eyes'],False, 'pybossa',2021-05-18 13:37:23.924
