exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-233,mouth,not_aligned,0.0526,0.0551,0.1244,0.1256
ICAO-233,rotation,not_aligned,0.1936,0.1971,0.2231,0.225
ICAO-233,l_away,not_aligned,0.0982,0.0995,0.0932,0.0945
ICAO-233,eyes_closed,not_aligned,0.0565,0.0472,0.0638,0.0545
ICAO-233,close,not_aligned,0.1518,0.1667,0.021,0.042
ICAO-233,hat,not_aligned,0.0011,0.0022,0.0288,0.0196
ICAO-233,dark_glasses,not_aligned,0.0096,0.0192,0.0136,0.0272
ICAO-233,frames_heavy,not_aligned,0.0304,0.0607,0.5,0.0
ICAO-233,frame_eyes,not_aligned,0.0426,0.0456,0.0434,0.0476
ICAO-233,flash_lenses,not_aligned,0.0609,0.0619,0.0364,0.0395
ICAO-233,veil,not_aligned,0.5,0.0,0.0038,0.0075
ICAO-233,reflection,not_aligned,0.095,0.0957,0.1081,0.1136
ICAO-233,light,not_aligned,0.1228,0.119,0.0973,0.1304
ICAO-233,sh_face,not_aligned,0.1185,0.1199,0.1314,0.1333
ICAO-233,sh_head,not_aligned,0.0831,0.0792,0.0589,0.0583
ICAO-233,blurred,not_aligned,0.1206,0.125,0.1525,0.1429
ICAO-233,ink_mark,not_aligned,,,,
ICAO-233,skin_tone,not_aligned,0.1536,0.1538,0.1838,0.1826
ICAO-233,washed_out,not_aligned,0.3386,0.3333,0.0018,0.0035
ICAO-233,pixelation,not_aligned,0.2302,0.2345,0.2663,0.2692
ICAO-233,hair_eyes,not_aligned,0.0907,0.0926,0.0326,0.04
ICAO-233,background,not_aligned,0.1154,0.1138,0.1005,0.1039
ICAO-233,red_eyes,not_aligned,0.0308,0.0455,0.0616,0.0687
