exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-236,mouth,not_aligned,0.1261,0.126,0.1774,0.1781
ICAO-236,rotation,not_aligned,0.201,0.2049,0.2327,0.225
ICAO-236,l_away,not_aligned,0.1108,0.1091,0.1279,0.1294
ICAO-236,eyes_closed,not_aligned,0.023,0.0272,0.0198,0.0215
ICAO-236,close,not_aligned,0.1878,0.1667,0.014,0.028
ICAO-236,hat,not_aligned,0.012,0.0132,0.0119,0.0196
ICAO-236,dark_glasses,not_aligned,0.001,0.002,0.5,0.0
ICAO-236,frames_heavy,not_aligned,0.0101,0.0202,0.5,0.0
ICAO-236,frame_eyes,not_aligned,0.0412,0.0395,0.0508,0.0539
ICAO-236,flash_lenses,not_aligned,0.0655,0.0691,0.0513,0.0526
ICAO-236,veil,not_aligned,0.5,0.0,0.0018,0.0037
ICAO-236,reflection,not_aligned,0.1098,0.1132,0.1247,0.1282
ICAO-236,light,not_aligned,0.1189,0.1188,0.1738,0.1739
ICAO-236,sh_face,not_aligned,0.1278,0.1287,0.1416,0.1444
ICAO-236,sh_head,not_aligned,0.0856,0.087,0.0718,0.0757
ICAO-236,blurred,not_aligned,0.1256,0.1349,0.1164,0.1143
ICAO-236,ink_mark,not_aligned,,,,
ICAO-236,skin_tone,not_aligned,0.1499,0.1496,0.1881,0.1913
ICAO-236,washed_out,not_aligned,0.1002,0.1993,0.5,0.0
ICAO-236,pixelation,not_aligned,0.2715,0.2849,0.3142,0.3206
ICAO-236,hair_eyes,not_aligned,0.0552,0.0648,0.0594,0.06
ICAO-236,background,not_aligned,0.1314,0.1323,0.1112,0.1119
ICAO-236,red_eyes,not_aligned,0.0388,0.0364,0.022,0.0258
