exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-337,mouth,not_aligned,0.0348,0.0381,0.09,0.0822
ICAO-337,rotation,not_aligned,0.2034,0.2044,0.2168,0.2212
ICAO-337,l_away,not_aligned,0.0996,0.1021,0.104,0.1034
ICAO-337,eyes_closed,not_aligned,0.0244,0.0283,0.0,0.0086
ICAO-337,close,not_aligned,0.0,0.1275,0.0,0.1713
ICAO-337,hat,not_aligned,0.0142,0.0176,0.014,0.0196
ICAO-337,dark_glasses,not_aligned,0.0,0.004,0.0,0.0117
ICAO-337,frames_heavy,not_aligned,0.0,0.011,0.0,0.0
ICAO-337,frame_eyes,not_aligned,0.0284,0.0304,0.0242,0.0238
ICAO-337,flash_lenses,not_aligned,0.0711,0.0708,0.047,0.05
ICAO-337,veil,not_aligned,0.0,0.0019,0.0,0.0
ICAO-337,reflection,not_aligned,0.1134,0.1132,0.1215,0.1212
ICAO-337,light,not_aligned,0.0912,0.0952,0.1369,0.1434
ICAO-337,sh_face,not_aligned,0.1438,0.1462,0.1314,0.1296
ICAO-337,sh_head,not_aligned,0.0641,0.0644,0.0897,0.0874
ICAO-337,blurred,not_aligned,0.0932,0.0933,0.1386,0.1429
ICAO-337,ink_mark,not_aligned,,,,
ICAO-337,skin_tone,not_aligned,0.0,0.0,0.0,0.0
ICAO-337,washed_out,not_aligned,0.1424,0.141,0.1765,0.1739
ICAO-337,pixelation,not_aligned,0.0,0.1225,0.0,0.0
ICAO-337,hair_eyes,not_aligned,0.2398,0.2539,0.2624,0.2692
ICAO-337,background,not_aligned,0.0655,0.0648,0.0678,0.06
ICAO-337,red_eyes,not_aligned,0.1003,0.1015,0.1246,0.1194
