exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-192,mouth,not_aligned,0.1786,0.1811,0.1912,0.1918
ICAO-192,rotation,not_aligned,0.2631,0.2634,0.2524,0.25
ICAO-192,l_away,not_aligned,0.2416,0.2424,0.2558,0.2587
ICAO-192,eyes_closed,not_aligned,0.2,0.1981,0.1831,0.1818
ICAO-192,close,not_aligned,0.024,0.0481,0.0245,0.049
ICAO-192,hat,not_aligned,0.0468,0.043,0.0182,0.0196
ICAO-192,dark_glasses,not_aligned,0.0116,0.0192,0.0162,0.0323
ICAO-192,frames_heavy,not_aligned,0.0064,0.0129,0.5,0.0
ICAO-192,frame_eyes,not_aligned,0.127,0.1291,0.1558,0.1569
ICAO-192,flash_lenses,not_aligned,0.1457,0.1416,0.0855,0.0877
ICAO-192,veil,not_aligned,0.02,0.0303,0.0238,0.0476
ICAO-192,reflection,not_aligned,0.1737,0.1736,0.1839,0.1818
ICAO-192,light,not_aligned,0.1268,0.1347,0.1237,0.1304
ICAO-192,sh_face,not_aligned,0.1438,0.1462,0.1389,0.1389
ICAO-192,sh_head,not_aligned,0.1056,0.104,0.0794,0.0811
ICAO-192,blurred,not_aligned,0.0726,0.0754,0.1026,0.1143
ICAO-192,ink_mark,not_aligned,,,,
ICAO-192,skin_tone,not_aligned,0.1786,0.1752,0.1982,0.1965
ICAO-192,washed_out,not_aligned,0.0524,0.1048,0.007,0.0141
ICAO-192,pixelation,not_aligned,0.2638,0.2581,0.2432,0.2557
ICAO-192,hair_eyes,not_aligned,0.1526,0.1572,0.1394,0.14
ICAO-192,background,not_aligned,0.0821,0.0831,0.073,0.0746
ICAO-192,red_eyes,not_aligned,0.1892,0.1909,0.1896,0.1818
