exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-336,mouth,not_aligned,0.2648,0.2677,0.265,0.2698
ICAO-336,rotation,not_aligned,0.2777,0.2774,0.2794,0.2837
ICAO-336,l_away,not_aligned,0.1599,0.1623,0.1765,0.1839
ICAO-336,eyes_closed,not_aligned,0.0635,0.0566,0.044,0.0515
ICAO-336,close,not_aligned,0.1277,0.1667,0.0,0.0804
ICAO-336,hat,not_aligned,0.0773,0.0753,0.1178,0.1176
ICAO-336,dark_glasses,not_aligned,0.0116,0.0192,0.0336,0.0323
ICAO-336,frames_heavy,not_aligned,0.0,0.182,0.0,0.0
ICAO-336,frame_eyes,not_aligned,0.1104,0.1118,0.1474,0.152
ICAO-336,flash_lenses,not_aligned,0.1988,0.1947,0.1473,0.15
ICAO-336,veil,not_aligned,0.0,0.0039,0.0,0.0075
ICAO-336,reflection,not_aligned,0.1974,0.1962,0.1909,0.1923
ICAO-336,light,not_aligned,0.1526,0.1624,0.2077,0.1739
ICAO-336,sh_face,not_aligned,0.197,0.1988,0.1768,0.1759
ICAO-336,sh_head,not_aligned,0.1031,0.1072,0.0972,0.0973
ICAO-336,blurred,not_aligned,0.2128,0.2093,0.1845,0.1976
ICAO-336,ink_mark,not_aligned,,,,
ICAO-336,skin_tone,not_aligned,0.0,0.0,0.0,0.0
ICAO-336,washed_out,not_aligned,0.2176,0.2179,0.2214,0.2254
ICAO-336,pixelation,not_aligned,0.3891,0.3333,0.0,0.0
ICAO-336,hair_eyes,not_aligned,0.3566,0.3548,0.3525,0.3588
ICAO-336,background,not_aligned,0.1298,0.1389,0.0615,0.063
ICAO-336,red_eyes,not_aligned,0.1588,0.1577,0.1316,0.1269
