exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-230,mouth,not_aligned,0.0412,0.0429,0.0692,0.0685
ICAO-230,rotation,not_aligned,0.2144,0.2171,0.2279,0.2308
ICAO-230,l_away,not_aligned,0.1221,0.123,0.0958,0.0995
ICAO-230,eyes_closed,not_aligned,0.0392,0.0408,0.0354,0.0364
ICAO-230,close,not_aligned,0.197,0.1667,0.0262,0.0524
ICAO-230,hat,not_aligned,0.0044,0.0088,0.0407,0.0392
ICAO-230,dark_glasses,not_aligned,0.0106,0.0192,0.0098,0.0195
ICAO-230,frames_heavy,not_aligned,0.0202,0.0404,0.5,0.0
ICAO-230,frame_eyes,not_aligned,0.0683,0.0709,0.0724,0.0714
ICAO-230,flash_lenses,not_aligned,0.0723,0.0737,0.0618,0.0667
ICAO-230,veil,not_aligned,0.002,0.0039,0.0112,0.0225
ICAO-230,reflection,not_aligned,0.117,0.117,0.1419,0.1474
ICAO-230,light,not_aligned,0.1288,0.1386,0.0963,0.1057
ICAO-230,sh_face,not_aligned,0.1331,0.1345,0.1111,0.1111
ICAO-230,sh_head,not_aligned,0.0963,0.0986,0.0638,0.068
ICAO-230,blurred,not_aligned,0.0932,0.0933,0.1263,0.1383
ICAO-230,ink_mark,not_aligned,,,,
ICAO-230,skin_tone,not_aligned,0.1414,0.1453,0.1794,0.185
ICAO-230,washed_out,not_aligned,0.0156,0.0313,0.0018,0.0035
ICAO-230,pixelation,not_aligned,0.233,0.2403,0.2166,0.2308
ICAO-230,hair_eyes,not_aligned,0.0825,0.0648,0.0531,0.06
ICAO-230,background,not_aligned,0.0471,0.045,0.0489,0.0522
ICAO-230,red_eyes,not_aligned,0.0411,0.0455,0.0225,0.0364
